ID,Name,Tier,Category,SubCategory,Description,Icon,UnlockNode,DropSource
wooden-hammer,Wooden Hammer,0,weapon,hammer-1h,Basic crafting hammer,🔨,,
bronze-hammer,Bronze Hammer,1,weapon,hammer-1h,Light bronze hammer,🔨,,
iron-hammer,Iron Hammer,2,weapon,hammer-1h,Sturdy iron hammer,🔨,,
steel-hammer,Steel Hammer,3,weapon,hammer-1h,Quality steel hammer,🔨,,
mithril-hammer,Mithril Hammer,4,weapon,hammer-1h,Lightweight hammer,🔨,,
adamantine-hammer,Adamantine Hammer,5,weapon,hammer-1h,Unbreakable hammer,🔨,,
orichalcum-hammer,Orichalcum Hammer,6,weapon,hammer-1h,Mythical hammer,🔨,,
starmetal-hammer,Starmetal Hammer,7,weapon,hammer-1h,Celestial hammer,🔨,,
divine-hammer,Divine Hammer,8,weapon,hammer-1h,Godly hammer,🔨,,
bronze-warhammer,Bronze Warhammer,1,weapon,hammer-2h,Heavy two-hand hammer,⚒️,,
iron-warhammer,Iron Warhammer,2,weapon,hammer-2h,Battle warhammer,⚒️,,
steel-warhammer,Steel Warhammer,3,weapon,hammer-2h,Military warhammer,⚒️,,
mithril-warhammer,Mithril Warhammer,4,weapon,hammer-2h,Light warhammer,⚒️,,
adamantine-warhammer,Adamantine Warhammer,5,weapon,hammer-2h,Crushing warhammer,⚒️,,
orichalcum-warhammer,Orichalcum Warhammer,6,weapon,hammer-2h,Legendary warhammer,⚒️,,
starmetal-warhammer,Starmetal Warhammer,7,weapon,hammer-2h,Meteor hammer,⚒️,,
divine-warhammer,Divine Warhammer,8,weapon,hammer-2h,Godly warhammer,⚒️,,
spike-trap,Spike Trap,1,trap,ground,Basic floor spikes,📍,,
bear-trap,Bear Trap,2,trap,ground,Clamping trap,🐻,,
poison-trap,Poison Trap,3,trap,ground,Venomous spikes,☠️,,
explosive-trap,Explosive Trap,4,trap,ground,Mine trap,💣,,
frost-trap,Frost Trap,5,trap,ground,Freezing trap,❄️,,
lightning-trap,Lightning Trap,6,trap,ground,Shocking trap,⚡,,
void-trap,Void Trap,7,trap,ground,Dimensional trap,🕳️,,
divine-trap,Divine Trap,8,trap,ground,Holy snare,✨,,
tripwire,Tripwire,1,trap,trigger,Basic alarm wire,🧵,,
pressure-plate,Pressure Plate,2,trap,trigger,Floor trigger,⬛,,
motion-sensor,Motion Sensor,4,trap,trigger,Movement detector,📡,,
arcane-ward,Arcane Ward,6,trap,trigger,Magic detection,🔮,,
grenade,Grenade,2,explosive,throwable,Basic frag grenade,💣,,
smoke-bomb,Smoke Bomb,2,explosive,throwable,Vision blocker,💨,,
flash-bomb,Flash Bomb,3,explosive,throwable,Blinding explosive,💥,,
fire-bomb,Fire Bomb,3,explosive,throwable,Incendiary device,🔥,,
frost-bomb,Frost Bomb,4,explosive,throwable,Freezing grenade,❄️,,
shock-bomb,Shock Bomb,4,explosive,throwable,Electric grenade,⚡,,
poison-bomb,Poison Bomb,5,explosive,throwable,Toxic grenade,☠️,,
void-bomb,Void Bomb,7,explosive,throwable,Dimensional rift bomb,🕳️,,
dynamite,Dynamite,3,explosive,demolition,Building destroyer,🧨,,
tnt-bundle,TNT Bundle,4,explosive,demolition,Large explosive,💣,,
c4-charge,C4 Charge,5,explosive,demolition,Shaped charge,🎯,,
plasma-charge,Plasma Charge,6,explosive,demolition,Energy explosive,⚡,,
antimatter-bomb,Antimatter Bomb,8,explosive,demolition,Ultimate explosive,☢️,,
wooden-tower,Wooden Tower,0,building,defense,Basic guard tower,🗼,,
stone-tower,Stone Tower,1,building,defense,Sturdy watch tower,🏰,,
iron-tower,Iron Tower,2,building,defense,Reinforced tower,🗼,,
steel-tower,Steel Tower,3,building,defense,Military tower,🗼,,
cannon-tower,Cannon Tower,4,building,defense,Artillery tower,💣,,
gatling-tower,Gatling Tower,5,building,defense,Rapid-fire tower,⚙️,,
laser-tower,Laser Tower,6,building,defense,Energy beam tower,⚡,,
arcane-tower,Arcane Tower,7,building,defense,Magic defense tower,🔮,,
divine-tower,Divine Tower,8,building,defense,Holy fortress tower,👑,,
wooden-wall,Wooden Wall,0,building,fortification,Basic barrier,🪵,,
stone-wall,Stone Wall,1,building,fortification,Sturdy wall,🧱,,
iron-wall,Iron Wall,2,building,fortification,Metal barrier,⬛,,
steel-wall,Steel Wall,3,building,fortification,Reinforced wall,🔩,,
adamantine-wall,Adamantine Wall,5,building,fortification,Unbreakable wall,💎,,
void-wall,Void Wall,7,building,fortification,Dimensional barrier,🕳️,,
basic-gate,Basic Gate,1,building,fortification,Simple door,🚪,,
iron-gate,Iron Gate,2,building,fortification,Metal gate,🚪,,
reinforced-gate,Reinforced Gate,4,building,fortification,Heavy gate,🚪,,
blast-door,Blast Door,6,building,fortification,Explosion-proof,🚪,,
tower-upgrade-1,Tower Reinforcement,2,upgrade,tower,+25% tower HP,🛡️,,
tower-upgrade-2,Tower Range Boost,3,upgrade,tower,+20% tower range,🎯,,
tower-upgrade-3,Tower Damage Boost,4,upgrade,tower,+30% tower damage,⚔️,,
tower-upgrade-4,Tower Speed Boost,5,upgrade,tower,+25% attack speed,⚡,,
tower-upgrade-5,Tower Multi-Target,6,upgrade,tower,Hits 3 enemies,💥,,
tower-upgrade-6,Tower Elemental,7,upgrade,tower,Adds elemental damage,🔥,,
tower-upgrade-7,Tower Divine,8,upgrade,tower,+50% all stats,👑,,
mechanical-horse,Mechanical Horse,3,mount,ground,Steam-powered horse,🐴,,
clockwork-spider,Clockwork Spider,4,mount,ground,Eight-legged mount,🕷️,,
steam-tank,Steam Tank,5,mount,ground,Armored vehicle,🚗,,
hover-bike,Hover Bike,6,mount,ground,Anti-gravity cycle,🏍️,,
mech-walker,Mech Walker,7,mount,ground,Bipedal mech suit,🤖,,
divine-automaton,Divine Automaton,8,mount,ground,Holy construct mount,👑,,
gyrocopter,Gyrocopter,4,mount,flying,Basic flying machine,🚁,,
steam-airship,Steam Airship,5,mount,flying,Personal airship,🎈,,
clockwork-dragon,Clockwork Dragon,6,mount,flying,Mechanical wyrm,🐉,,
void-glider,Void Glider,7,mount,flying,Dimensional flyer,🕳️,,
divine-wings,Divine Wings,8,mount,flying,Holy wing apparatus,👼,,
compass-relic,Engineer's Compass,2,relic,navigation,+10% move speed,🧭,,
toolbelt-relic,Master Toolbelt,3,relic,crafting,+15% craft speed,🔧,,
goggles-relic,Precision Goggles,4,relic,accuracy,+10% crit chance,🥽,,
powercore-relic,Power Core,5,relic,energy,+20% ability damage,⚡,,
clockwork-heart,Clockwork Heart,6,relic,mechanical,+25% reload speed,💜,,
void-engine,Void Engine,7,relic,dimensional,+30% explosion radius,🕳️,,
divine-blueprint,Divine Blueprint,8,relic,legendary,+50% crafting XP,📜,,
turret-summon,Deployable Turret,3,summon,mechanical,Auto-attacking turret,🎯,,
drone-swarm,Drone Swarm,5,summon,mechanical,Flying attack drones,🤖,,
golem-core,Golem Core,6,summon,mechanical,Combat automaton,🗿,,
mech-suit,Mech Suit,7,summon,mechanical,Wearable armor,🤖,,
mechanical-infusion,Mechanical Infusion Essence,3,infusion,essence,Adds reload speed,⚙️,Gear Master,
explosive-infusion,Explosive Infusion Essence,4,infusion,essence,Adds area damage,💥,Demolition Expert,
automaton-infusion,Automaton Infusion Essence,5,infusion,essence,Adds summon damage bonus,🤖,Automata Master,
