ID,Name,Tier,Category,SubCategory,Description,Icon,UnlockNode,DropSource
rugged-gloves,Rugged Gloves,3,armor,leather-gloves,Quality gloves,🧤,,
hardened-gloves,Hardened Gloves,4,armor,leather-gloves,Reinforced gloves,🧤,,
wyrm-gloves,Wyrm Scale Gloves,5,armor,leather-gloves,Dragon gloves,🧤,,
infernal-gloves,Infernal Gloves,6,armor,leather-gloves,Demon gloves,🧤,,
titan-gloves,Titan Gloves,7,armor,leather-gloves,Giant gloves,🧤,,
divine-leather-gloves,Divine Leather Gloves,8,armor,leather-gloves,Holy gloves,🧤,,
leather-pants,Leather Pants,1,armor,leather-legs,Basic leg armor,👖,,
thick-pants,Thick Leather Pants,2,armor,leather-legs,Sturdy pants,👖,,
rugged-pants,Rugged Pants,3,armor,leather-legs,Quality pants,👖,,
hardened-pants,Hardened Pants,4,armor,leather-legs,Reinforced pants,👖,,
wyrm-pants,Wyrm Scale Pants,5,armor,leather-legs,Dragon pants,👖,,
infernal-pants,Infernal Pants,6,armor,leather-legs,Demon pants,👖,,
titan-pants,Titan Pants,7,armor,leather-legs,Giant pants,👖,,
divine-leather-pants,Divine Leather Pants,8,armor,leather-legs,Holy pants,👖,,
leather-boots,Leather Boots,1,armor,leather-boots,Basic boots,👢,,
thick-boots,Thick Leather Boots,2,armor,leather-boots,Sturdy boots,👢,,
rugged-boots,Rugged Boots,3,armor,leather-boots,Quality boots,👢,,
hardened-boots,Hardened Boots,4,armor,leather-boots,Reinforced boots,👢,,
wyrm-boots,Wyrm Scale Boots,5,armor,leather-boots,Dragon boots,👢,,
infernal-boots,Infernal Boots,6,armor,leather-boots,Demon boots,👢,,
titan-boots,Titan Boots,7,armor,leather-boots,Giant boots,👢,,
divine-leather-boots,Divine Leather Boots,8,armor,leather-boots,Holy boots,👢,,
wooden-cabin,Wooden Cabin,1,building,shelter,Basic house,🏠,,
log-cabin,Log Cabin,2,building,shelter,Sturdy house,🏡,,
hunting-lodge,Hunting Lodge,3,building,shelter,Hunter base,🏚️,,
ranger-outpost,Ranger Outpost,4,building,shelter,Forest camp,⛺,,
treehouse,Treehouse,5,building,shelter,Elevated home,🌳,,
worldtree-sanctuary,Worldtree Sanctuary,8,building,shelter,Divine shelter,🌲,,
wooden-fence,Wooden Fence,0,building,fortification,Basic barrier,🪵,,
oak-fence,Oak Fence,2,building,fortification,Sturdy fence,🌳,,
spiked-fence,Spiked Fence,3,building,fortification,Defensive fence,🔱,,
hunting-trap,Hunting Trap,2,trap,animal,Capture small game,🪤,,
snare-trap,Snare Trap,3,trap,animal,Capture medium game,🪢,,
pit-trap,Pit Trap,4,trap,animal,Capture large game,🕳️,,
donkey,Donkey,1,mount,ground,Pack animal,🫏,,
horse,Horse,2,mount,ground,Fast mount,🐴,,
war-horse,War Horse,3,mount,ground,Battle mount,🐎,,
dire-wolf,Dire Wolf,4,mount,ground,Predator mount,🐺,,
giant-elk,Giant Elk,5,mount,ground,Majestic mount,🦌,,
dire-bear,Dire Bear,6,mount,ground,Powerful mount,🐻,,
mammoth,Mammoth,7,mount,ground,Massive mount,🦣,,
divine-stag,Divine Stag,8,mount,ground,Holy mount,✨,,
giant-eagle,Giant Eagle,4,mount,flying,Raptor mount,🦅,,
griffon,Griffon,5,mount,flying,Hybrid mount,🦁,,
hippogryph,Hippogryph,6,mount,flying,Majestic flyer,🐴,,
phoenix,Phoenix,7,mount,flying,Fire bird mount,🔥,,
divine-dragon,Divine Dragon,8,mount,flying,Holy dragon,🐉,,
quiver-relic,Hunter's Quiver,2,relic,utility,+10 arrow capacity,🏹,,
tracker-compass,Tracker's Compass,3,relic,utility,Track nearby beasts,🧭,,
beast-whistle,Beast Whistle,4,relic,taming,+20% tame chance,📯,,
nature-amulet,Nature's Amulet,5,relic,elemental,+25% nature damage,🌿,,
primal-heart,Primal Heart,6,relic,elemental,+30% beast damage,💚,,
world-seed,World Seed,7,relic,legendary,+40% mount speed,🌱,,
yggdrasil-branch,Yggdrasil Branch,8,relic,legendary,+50% forester XP,🌳,,
verdant-infusion,Verdant Infusion Essence,3,infusion,essence,Adds nature damage,🌿,Nature's Touch,
beast-infusion,Beast Infusion Essence,4,infusion,essence,Adds lifesteal on hit,🐾,Beast Mastery,
primal-infusion,Primal Infusion Essence,5,infusion,essence,Adds attack speed bonus,🦁,Primal Fury,
