ID,Name,Tier,Category,SubCategory,Description,Icon,UnlockNode,DropSource
orichalcum-greatsword,Orichalcum Greatsword,6,weapon,sword-2h,Legendary blade,🗡️,,
starmetal-greatsword,Starmetal Greatsword,7,weapon,sword-2h,Celestial blade,🗡️,,
divine-greatsword,Divine Greatsword,8,weapon,sword-2h,Godly blade,🗡️,,
copper-axe,Copper Axe,1,weapon,axe-1h,Basic battle axe,🪓,,
iron-axe,Iron Axe,2,weapon,axe-1h,Sturdy axe,🪓,,
steel-axe,Steel Axe,3,weapon,axe-1h,Quality axe,🪓,,
mithril-axe,Mithril Axe,4,weapon,axe-1h,Light axe,🪓,,
adamantine-axe,Adamantine Axe,5,weapon,axe-1h,Unbreaking axe,🪓,,
orichalcum-axe,Orichalcum Axe,6,weapon,axe-1h,Legendary axe,🪓,,
starmetal-axe,Starmetal Axe,7,weapon,axe-1h,Celestial axe,🪓,,
divine-axe,Divine Axe,8,weapon,axe-1h,Godly axe,🪓,,
copper-dagger,Copper Dagger,1,weapon,dagger,Basic dagger,🗡️,,
iron-dagger,Iron Dagger,2,weapon,dagger,Sharp dagger,🗡️,,
steel-dagger,Steel Dagger,3,weapon,dagger,Quality dagger,🗡️,,
mithril-dagger,Mithril Dagger,4,weapon,dagger,Light dagger,🗡️,,
adamantine-dagger,Adamantine Dagger,5,weapon,dagger,Unbreaking dagger,🗡️,,
orichalcum-dagger,Orichalcum Dagger,6,weapon,dagger,Legendary dagger,🗡️,,
starmetal-dagger,Starmetal Dagger,7,weapon,dagger,Celestial dagger,🗡️,,
divine-dagger,Divine Dagger,8,weapon,dagger,Godly dagger,🗡️,,
wooden-shield,Wooden Shield,0,armor,shield,Basic shield,🛡️,,
copper-shield,Copper Shield,1,armor,shield,Light shield,🛡️,,
iron-shield,Iron Shield,2,armor,shield,Sturdy shield,🛡️,,
steel-shield,Steel Shield,3,armor,shield,Quality shield,🛡️,,
mithril-shield,Mithril Shield,4,armor,shield,Light metal shield,🛡️,,
adamantine-shield,Adamantine Shield,5,armor,shield,Unbreaking shield,🛡️,,
orichalcum-shield,Orichalcum Shield,6,armor,shield,Legendary shield,🛡️,,
starmetal-shield,Starmetal Shield,7,armor,shield,Celestial shield,🛡️,,
divine-shield,Divine Shield,8,armor,shield,Godly shield,🛡️,,
copper-helm,Copper Helm,1,armor,plate-helm,Basic metal helm,🪖,,
iron-helm,Iron Helm,2,armor,plate-helm,Sturdy helm,🪖,,
steel-helm,Steel Helm,3,armor,plate-helm,Quality helm,🪖,,
mithril-helm,Mithril Helm,4,armor,plate-helm,Light helm,🪖,,
adamantine-helm,Adamantine Helm,5,armor,plate-helm,Unbreaking helm,🪖,,
orichalcum-helm,Orichalcum Helm,6,armor,plate-helm,Legendary helm,🪖,,
starmetal-helm,Starmetal Helm,7,armor,plate-helm,Celestial helm,🪖,,
divine-helm,Divine Helm,8,armor,plate-helm,Godly helm,🪖,,
copper-plate,Copper Plate Armor,1,armor,plate-chest,Basic plate armor,🛡️,,
iron-plate,Iron Plate Armor,2,armor,plate-chest,Sturdy plate,🛡️,,
steel-plate,Steel Plate Armor,3,armor,plate-chest,Quality plate,🛡️,,
mithril-plate,Mithril Plate Armor,4,armor,plate-chest,Light plate,🛡️,,
adamantine-plate,Adamantine Plate Armor,5,armor,plate-chest,Unbreaking plate,🛡️,,
orichalcum-plate,Orichalcum Plate Armor,6,armor,plate-chest,Legendary plate,🛡️,,
starmetal-plate,Starmetal Plate Armor,7,armor,plate-chest,Celestial plate,🛡️,,
divine-plate,Divine Plate Armor,8,armor,plate-chest,Godly plate,🛡️,,
copper-gauntlets,Copper Gauntlets,1,armor,plate-gloves,Basic metal gloves,🧤,,
iron-gauntlets,Iron Gauntlets,2,armor,plate-gloves,Sturdy gauntlets,🧤,,
steel-gauntlets,Steel Gauntlets,3,armor,plate-gloves,Quality gauntlets,🧤,,
mithril-gauntlets,Mithril Gauntlets,4,armor,plate-gloves,Light gauntlets,🧤,,
adamantine-gauntlets,Adamantine Gauntlets,5,armor,plate-gloves,Unbreaking gauntlets,🧤,,
orichalcum-gauntlets,Orichalcum Gauntlets,6,armor,plate-gloves,Legendary gauntlets,🧤,,
starmetal-gauntlets,Starmetal Gauntlets,7,armor,plate-gloves,Celestial gauntlets,🧤,,
divine-gauntlets,Divine Gauntlets,8,armor,plate-gloves,Godly gauntlets,🧤,,
copper-greaves,Copper Greaves,1,armor,plate-legs,Basic leg armor,🦵,,
iron-greaves,Iron Greaves,2,armor,plate-legs,Sturdy greaves,🦵,,
steel-greaves,Steel Greaves,3,armor,plate-legs,Quality greaves,🦵,,
mithril-greaves,Mithril Greaves,4,armor,plate-legs,Light greaves,🦵,,
adamantine-greaves,Adamantine Greaves,5,armor,plate-legs,Unbreaking greaves,🦵,,
orichalcum-greaves,Orichalcum Greaves,6,armor,plate-legs,Legendary greaves,🦵,,
starmetal-greaves,Starmetal Greaves,7,armor,plate-legs,Celestial greaves,🦵,,
divine-greaves,Divine Greaves,8,armor,plate-legs,Godly greaves,🦵,,
copper-boots,Copper Boots,1,armor,plate-boots,Basic metal boots,👢,,
iron-boots,Iron Boots,2,armor,plate-boots,Sturdy boots,👢,,
steel-boots,Steel Boots,3,armor,plate-boots,Quality boots,👢,,
mithril-boots,Mithril Boots,4,armor,plate-boots,Light boots,👢,,
adamantine-boots,Adamantine Boots,5,armor,plate-boots,Unbreaking boots,👢,,
orichalcum-boots,Orichalcum Boots,6,armor,plate-boots,Legendary boots,👢,,
starmetal-boots,Starmetal Boots,7,armor,plate-boots,Celestial boots,👢,,
divine-boots,Divine Boots,8,armor,plate-boots,Godly boots,👢,,
stone-brick,Stone Brick,1,building,material,Basic building block,🧱,,
iron-beam,Iron Beam,2,building,material,Structural support,🔩,,
steel-beam,Steel Beam,3,building,material,Quality support,🔧,,
reinforced-beam,Reinforced Beam,4,building,material,Heavy support,⚙️,,
stone-foundation,Stone Foundation,1,building,structure,Base structure,🪨,,
iron-foundation,Iron Foundation,2,building,structure,Metal base,⬛,,
steel-foundation,Steel Foundation,3,building,structure,Quality base,⬜,,
mine-cart,Mine Cart,2,mount,ground,Rail transport,🛒,,
armored-cart,Armored Cart,4,mount,ground,Protected cart,🛡️,,
drill-mole,Drill Mole,5,mount,ground,Burrowing mount,🐹,,
stone-golem,Stone Golem,6,mount,ground,Animated stone,🗿,,
iron-golem,Iron Golem,7,mount,ground,Metal construct,🤖,,
divine-golem,Divine Golem,8,mount,ground,Holy construct,👑,,
miners-lantern,Miner's Lantern,2,relic,utility,Light in darkness,🏮,,
ore-detector,Ore Detector,3,relic,utility,Find nearby ore,📡,,
gem-finder,Gem Finder,4,relic,utility,Locate gems,💎,,
forge-amulet,Forge Amulet,5,relic,crafting,+20% smelt speed,🔥,,
earthen-heart,Earthen Heart,6,relic,elemental,+25% mining yield,💜,,
core-of-the-mountain,Core of the Mountain,7,relic,legendary,+30% ore quality,🏔️,,
divine-pickaxe-relic,Divine Mining Relic,8,relic,legendary,+50% mining XP,👑,,
forge-infusion,Forge Infusion Essence,3,infusion,essence,Adds fire damage to weapons,🔥,Forge Master,
earthen-infusion,Earthen Infusion Essence,4,infusion,essence,Adds armor penetration,🪨,Deep Earth Mastery,
crystal-infusion,Crystal Infusion Essence,5,infusion,essence,Adds critical damage bonus,💎,Gem Cutter,
