ID,Name,Tier,Category,SubCategory,Description,Icon,UnlockNode,DropSource
grilled-fish,Grilled Fish,2,food,main,Cooked fish,🐟,,
meat-pie,Meat Pie,3,food,main,Savory pastry,🥧,,
feast-platter,Feast Platter,4,food,main,Grand meal,🍽️,,
royal-banquet,Royal Banquet,6,food,main,Luxury meal,👑,,
divine-feast,Divine Feast,8,food,main,Godly meal,✨,,
apple-pie,Apple Pie,2,food,dessert,Sweet pastry,🥧,,
cake,Cake,3,food,dessert,Birthday treat,🎂,,
cookies,Cookies,2,food,dessert,Sweet biscuits,🍪,,
chocolate,Chocolate,4,food,dessert,Cocoa treat,🍫,,
ice-cream,Ice Cream,4,food,dessert,Frozen treat,🍨,,
divine-dessert,Divine Dessert,8,food,dessert,Holy sweet,👑,,
ale,Ale,1,drink,alcohol,Basic beer,🍺,,
wine,Wine,2,drink,alcohol,Grape beverage,🍷,,
mead,Mead,3,drink,alcohol,Honey wine,🍯,,
whiskey,Whiskey,4,drink,alcohol,Strong spirit,🥃,,
divine-wine,Divine Wine,8,drink,alcohol,Holy vintage,👑,,
water-flask,Water Flask,0,drink,non-alcohol,Plain water,💧,,
juice,Juice,1,drink,non-alcohol,Fruit drink,🧃,,
tea,Tea,2,drink,non-alcohol,Herbal drink,🍵,,
coffee,Coffee,3,drink,non-alcohol,Energy drink,☕,,
minor-health-potion,Minor Health Potion,0,potion,health,Restore 50 HP,❤️,,
lesser-health-potion,Lesser Health Potion,1,potion,health,Restore 100 HP,❤️,,
health-potion,Health Potion,2,potion,health,Restore 200 HP,❤️,,
greater-health-potion,Greater Health Potion,3,potion,health,Restore 400 HP,❤️,,
superior-health-potion,Superior Health Potion,4,potion,health,Restore 800 HP,❤️,,
mega-health-potion,Mega Health Potion,5,potion,health,Restore 1500 HP,❤️,,
ultra-health-potion,Ultra Health Potion,6,potion,health,Restore 3000 HP,❤️,,
divine-health-potion,Divine Health Potion,8,potion,health,Full HP restore,❤️,,
minor-mana-potion,Minor Mana Potion,0,potion,mana,Restore 25 MP,💙,,
lesser-mana-potion,Lesser Mana Potion,1,potion,mana,Restore 50 MP,💙,,
mana-potion,Mana Potion,2,potion,mana,Restore 100 MP,💙,,
greater-mana-potion,Greater Mana Potion,3,potion,mana,Restore 200 MP,💙,,
superior-mana-potion,Superior Mana Potion,4,potion,mana,Restore 400 MP,💙,,
mega-mana-potion,Mega Mana Potion,5,potion,mana,Restore 750 MP,💙,,
ultra-mana-potion,Ultra Mana Potion,6,potion,mana,Restore 1500 MP,💙,,
divine-mana-potion,Divine Mana Potion,8,potion,mana,Full MP restore,💙,,
stamina-potion,Stamina Potion,2,potion,buff,Restore stamina,💚,,
antidote,Antidote,1,potion,cure,Cure poison,🧪,,
burn-salve,Burn Salve,2,potion,cure,Cure burning,🔥,,
frost-remedy,Frost Remedy,2,potion,cure,Cure frozen,❄️,,
panacea,Panacea,6,potion,cure,Cure all debuffs,💊,,
strength-elixir,Strength Elixir,3,potion,buff,+20% damage 5min,💪,,
speed-elixir,Speed Elixir,3,potion,buff,+20% speed 5min,⚡,,
defense-elixir,Defense Elixir,3,potion,buff,+20% armor 5min,🛡️,,
luck-elixir,Luck Elixir,4,potion,buff,+20% drop rate 5min,🍀,,
xp-elixir,XP Elixir,5,potion,buff,+50% XP gain 30min,📈,,
divine-elixir,Divine Elixir,8,potion,buff,+50% all stats 10min,👑,,
bandage,Bandage,0,consumable,healing,Heal 25 HP over time,🩹,,
medkit,Medkit,2,consumable,healing,Heal 100 HP over time,🏥,,
advanced-medkit,Advanced Medkit,4,consumable,healing,Heal 300 HP over time,💉,,
ration,Ration,1,consumable,food,+10 HP regen 1min,🥫,,
trail-mix,Trail Mix,2,consumable,food,+20 HP regen 2min,🥜,,
energy-bar,Energy Bar,3,consumable,food,+30 HP regen 3min,🍫,,
combat-ration,Combat Ration,4,consumable,food,+50 HP regen 5min,📦,,
cooking-pot,Cooking Pot,1,tool,cooking,Basic cooking,🍳,,
frying-pan,Frying Pan,2,tool,cooking,Fry foods,🍳,,
oven,Oven,3,tool,cooking,Bake foods,🔥,,
smoker,Smoker,3,tool,cooking,Smoke meats,💨,,
grill,Grill,4,tool,cooking,BBQ meats,🔥,,
cauldron,Cauldron,4,tool,brewing,Brew potions,🧙,,
distillery,Distillery,5,tool,brewing,Make spirits,⚗️,,
divine-kitchen,Divine Kitchen,8,tool,cooking,Holy cooking,👑,,
campfire,Campfire,0,building,cooking,Basic heat source,🔥,,
kitchen,Kitchen,2,building,cooking,Cooking station,🍳,,
bakery,Bakery,3,building,cooking,Bread making,🥖,,
brewery,Brewery,4,building,brewing,Make drinks,🍺,,
alchemy-lab,Alchemy Lab,5,building,brewing,Make potions,⚗️,,
restaurant,Restaurant,6,building,cooking,Serve food,🍽️,,
tavern,Tavern,3,building,social,Drink and rest,🍺,,
inn,Inn,4,building,social,Rest and heal,🏨,,
feast-hall,Feast Hall,6,building,social,Grand celebrations,🏰,,
pack-mule,Pack Mule,2,mount,ground,Carry supplies,🫏,,
food-cart,Food Cart,3,mount,ground,Mobile kitchen,🛒,,
chef-wagon,Chef Wagon,5,mount,ground,Traveling restaurant,🚐,,
chefs-hat,Chef's Hat,2,relic,crafting,+10% cooking speed,👨‍🍳,,
tasting-spoon,Tasting Spoon,3,relic,crafting,+15% food quality,🥄,,
master-cookbook,Master Cookbook,4,relic,crafting,+20% recipe unlock,📖,,
golden-ladle,Golden Ladle,5,relic,crafting,+25% potion potency,🥄,,
cauldron-of-plenty,Cauldron of Plenty,6,relic,legendary,+30% yield,🍲,,
divine-recipe,Divine Recipe,7,relic,legendary,+40% buff duration,📜,,
holy-grail,Holy Grail,8,relic,legendary,+50% chef XP,🏆,,
culinary-infusion,Culinary Infusion Essence,3,infusion,essence,Adds HP regen on hit,🍖,Master Chef,
alchemical-infusion,Alchemical Infusion Essence,4,infusion,essence,Adds poison chance,⚗️,Alchemist,
feast-infusion,Feast Infusion Essence,5,infusion,essence,Extends buff duration,🍽️,Grand Chef,
