Fire Staff	Emberwrath Staff	Ranged 2h	Wrath of endless burning grudges	T1-T8	65 +15	60 +12	100 +40	6 +1	0 +0	10 +3	Fire Bolt (single-target	 builds Burn stack max 3)	Flame Wave (cone AoE DoT)	Fireball (AoE burst)	Inferno Shield (reflect dmg)	Hellstorm (large AoE DoT)	Crimson Pyre (lifesteal burn AoE)	Shadow Flame (silence + burn)	Meteor Strike (delayed massive burst)	Flame Nova (explode all burns)	Burn Mastery (+DoT dmg)	Mana Regen (+regen)
Holy Staff	Dawnspire Staff	Ranged 2h	Staff of dawning holy grudges	T1-T8	50 +12	100 +25	120 +50	4 +0.6	5 +1	15 +5	Holy Light (heal single	 builds Grace max 3)	Divine Wave (AoE heal)	Sacred Shield (ally shield)	Smite (dmg purge)	Radiant Salvation (AoE heal cleanse)	Crimson Grace (heal lifesteal)	Shadow Mend (heal silence)	Flame Blessing (heal dmg buff)	Holy Beacon (ally empower)	Heal Mastery (+power)	Mana Regen
Holy Staff	Lightgrudge Staff	Ranged 2h	Infused with light clan grudges	T1-T8	52 +13	95 +23.5	125 +52	5 +0.7	4.5 +0.9	14 +4.5	Holy Light	Divine Wave	Sacred Shield	Smite	Light Surge (channeled beam heal)	Holy Wall (wall shield)	Grudge Grace (spread grace)	Radiant Pillar (pillar burst)	Light Cataclysm (ultimate storm)	Heal Mastery	Mana Efficiency	Crit Chance
Holy Staff	Bloodlight Spire	Ranged 2h	Spire from bloodlight rituals	T1-T8	49 +11.5	105 +26.5	118 +49	3.5 +0.5	6 +1.2	16 +5.5	Holy Light	Divine Wave	Sacred Shield	Smite	Bloodlight (lifesteal heal)	Light Ritual (HoT + grace)	Bloodlight Nova (AoE lifesteal)	Holy Grasp (root purge)	Bloodlight Eruption (explode + heal)	Life Leech (on grace)	Mana Regen	Heal Amp
Holy Staff	Sacred Oathbreaker	Ranged 2h	Oathbreaker staff of sacred light	T1-T8	51 +12.5	98 +24.5	122 +51	4.5 +0.65	5.5 +1.1	15.5 +5	Holy Light	Divine Wave	Sacred Shield	Smite	Oathbreaker Light (purge + grace)	Sacred Chains (bind shield)	Broken Oath Nova (AoE purge heal)	Sacred Oath (debuff amp)	Sacred Apocalypse (large purge AoE)	Heal Mastery (+purge)	Cooldown Reduce	Mana Regen
Holy Staff	Crimson Dawn Tome	Offhand 1h	Tome of crimson dawn grudges	T1-T8	48 +11	102 +25.5	130 +53	6 +0.8	3 +0.6	13 +4	Holy Light (quick cast)	Divine Wave	Sacred Shield	Smite	Crimson Surge (dash grace)	Dawn Page (summon light minion)	Tome Grace (multi target grace)	Crimson Ritual (channel heal grace)	Crimson Radiance (book ultimate AoE)	Spell Crit	Heal Mastery	Mana Efficiency
Holy Staff	Gracewrath Grimoire	Offhand 1h	Grimoire holding gracewrath spells	T1-T8	53 +13.5	90 +22.5	135 +55	7 +0.9	2 +0.4	12 +3.5	Holy Light	Divine Wave	Sacred Shield	Smite	Grace Fury (frenzy cast speed)	Wrath Page (empowered next spell)	Grimoire Storm (rain pages heal)	Gracewrath Bind (root + grace)	Eternal Grace (perma heal field)	Mana Regen	Crit Chance	Grace Duration
Arcane Staff	Voidspire Staff	Ranged 2h	Staff channeling void grudges	T1-T8	62 +14	65 +13	130 +55	7 +1.1	1 +0.3	11 +3	Arcane Bolt (single mark)	Energy Wave (AoE dmg)	Time Stasis (freeze AoE)	Mana Shield (absorb)	Grudge Vortex (pull slow)	Crimson Pulse (lifesteal AoE)	Shadow Bind (root AoE)	Flame Surge (dmg AoE)	Arcane Nova (burst)	CC Mastery (+duration)	Mana Regen	Energy Efficiency
Arcane Staff	Voidgrudge Staff	Ranged 2h	Infused with void clan grudges	T1-T8	64 +15	60 +12	135 +57	8 +1.2	0.5 +0.2	10 +2.5	Arcane Bolt	Energy Wave	Time Stasis	Mana Shield	Void Surge (channeled pull)	Void Wall (wall bind)	Grudge Void (spread mark)	Arcane Pillar (pillar burst)	Void Cataclysm (ultimate storm)	CC Mastery	Mana Efficiency	Crit Chance
Arcane Staff	Etherblood Spire	Ranged 2h	Spire from etherblood rituals	T1-T8	61 +13.5	70 +14.5	128 +54	6.5 +1	1.5 +0.4	12 +3.5	Arcane Bolt	Energy Wave	Time Stasis	Mana Shield	Etherblood (lifesteal mark)	Ether Ritual (buff + mark)	Etherblood Nova (AoE lifesteal)	Void Grasp (root mark)	Etherblood Eruption (explode + buff)	Life Leech (on mark)	Mana Regen	CC Amp
Arcane Staff	Aether Oathbreaker	Ranged 2h	Oathbreaker staff of aether	T1-T8	63 +14.5	63 +12.5	132 +56	7.5 +1.15	1 +0.25	11.5 +3	Arcane Bolt	Energy Wave	Time Stasis	Mana Shield	Oathbreaker Void (purge + mark)	Aether Chains (bind mark)	Broken Oath Nova (AoE purge mark)	Aether Oath (debuff amp)	Aether Apocalypse (large purge AoE)	CC Mastery (+purge)	Cooldown Reduce	Mana Regen
Arcane Staff	Crimson Void Tome	Offhand 1h	Tome of crimson void grudges	T1-T8	60 +13.5	68 +14	140 +58	9 +1.2	0.5 +0.1	9.5 +2.5	Arcane Bolt (quick cast)	Energy Wave	Time Stasis	Mana Shield	Crimson Surge (dash mark)	Void Page (summon void minion)	Tome Mark (multi target mark)	Crimson Ritual (channel buff mark)	Crimson Abyss (book ultimate AoE)	Spell Crit	CC Mastery	Mana Efficiency
Arcane Staff	Voidwrath Grimoire	Offhand 1h	Grimoire holding voidwrath spells	T1-T8	65 +15.5	55 +11	145 +60	10 +1.3	0 +0	8.5 +2	Arcane Bolt	Energy Wave	Time Stasis	Mana Shield	Void Fury (frenzy cast speed)	Wrath Page (empowered next spell)	Grimoire Storm (rain pages mark)	Voidwrath Bind (root + mark)	Eternal Void (perma mark field)	Mana Regen	Crit Chance	CC Duration
Lightning Staff	Stormwrath Staff	Ranged 2h	Staff of stormwrath grudges	T1-T8	68 +16	55 +10	110 +45	8 +1.2	0 +0	9 +2	Thunder Bolt (single shock stack max 3)	Lightning Strike (AoE stun)	Chain Shock (multi bounce)	Storm Shield (reflect)	Thunder Tempest (AoE chain stun)	Crimson Bolt (lifesteal shock)	Shadow Spark (silence shock)	Flame Shock (DoT shock)	Storm Call (rain lightning)	Shock Mastery (+dmg)	Mana Regen	Crit Chance
Lightning Staff	Thundergrudge Staff	Ranged 2h	Infused with thunder clan grudges	T1-T8	70 +17	50 +9	115 +47	9 +1.3	0 +0	8 +1.5	Thunder Bolt	Lightning Strike	Chain Shock	Storm Shield	Thunder Surge (channeled line shock)	Thunder Wall (wall stun)	Grudge Shock (spread shock)	Storm Pillar (pillar burst)	Thunder Cataclysm (ultimate storm)	Shock Mastery	Mana Efficiency	Crit Chance
Lightning Staff	Stormblood Spire	Ranged 2h	Spire from stormblood rituals	T1-T8	67 +15.5	60 +11.5	108 +44	7.5 +1.1	0.5 +0.1	10 +2.5	Thunder Bolt	Lightning Strike	Chain Shock	Storm Shield	Stormblood (lifesteal shock)	Storm Ritual (buff + shock)	Stormblood Nova (AoE lifesteal)	Thunder Grasp (root shock)	Stormblood Eruption (explode + buff)	Life Leech (on shock)	Mana Regen	Shock Amp
Lightning Staff	Bolt Oathbreaker	Ranged 2h	Oathbreaker staff of lightning bolts	T1-T8	69 +16.5	53 +9.5	112 +46	8.5 +1.25	0 +0	9.5 +2	Thunder Bolt	Lightning Strike	Chain Shock	Storm Shield	Oathbreaker Bolt (purge + shock)	Bolt Chains (bind shock)	Broken Oath Nova (AoE purge shock)	Bolt Oath (debuff amp)	Bolt Apocalypse (large purge AoE)	Shock Mastery (+purge)	Cooldown Reduce	Mana Regen
Lightning Staff	Crimson Storm Tome	Offhand 1h	Tome of crimson storm grudges	T1-T8	66 +15	58 +11	120 +49	10 +1.4	0 +0	7.5 +1.5	Thunder Bolt (quick cast)	Lightning Strike	Chain Shock	Storm Shield	Crimson Surge (dash shock)	Storm Page (summon lightning minion)	Tome Shock (multi target shock)	Crimson Ritual (channel buff shock)	Crimson Tempest (book ultimate AoE)	Spell Crit	Shock Mastery	Mana Efficiency
Lightning Staff	Thunderwrath Grimoire	Offhand 1h	Grimoire holding thunderwrath spells	T1-T8	71 +17.5	45 +8.5	125 +51	11 +1.5	0 +0	6.5 +1.5	Thunder Bolt	Lightning Strike	Chain Shock	Storm Shield	Thunder Fury (frenzy cast speed)	Wrath Page (empowered next spell)	Grimoire Storm (rain pages shock)	Thunderwrath Bind (root + shock)	Eternal Thunder (perma shock field)	Mana Regen	Crit Chance	Shock Duration
